,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.438,0.188,-16.355,0.036,0.994,0.905,0.111,0.181,79.393,3XAIVxLS42fJHNWrkbn0SM,225977
1,0.683,0.634,-4.532,0.0377,0.614,0.0,0.0853,0.546,120.026,31QR935rFUPlondTVPvSpk,307129
2,0.621,0.86,-7.78,0.0491,0.749,0.0,0.0771,0.708,120.395,1ToBT0RwZlcNRwveJ6AQmy,201987
3,0.257,0.807,-6.287,0.0621,9.25e-06,0.943,0.222,0.629,137.165,7lIZR0JtYJLrkXqpRtpX3U,148027
4,0.434,0.543,-6.016,0.0278,0.0526,0.676,0.168,0.344,203.873,53d94Fd3wlD3UboSm2fAGu,129437
5,0.493,0.697,-11.144,0.05,0.00694,0.00396,0.18,0.79,141.587,1OO4np3zmnmyp9FCVX03dK,187382
6,0.848,0.393,-11.878,0.0512,0.677,0.00141,0.117,0.426,124.022,4e7xKz1L43jWSSP7dwdOqY,154972
7,0.935,0.398,-10.164,0.127,0.0727,0.00636,0.0619,0.652,95.03,7yjM3dks21Kgvzu76A58YN,145773
8,0.757,0.918,-3.33,0.0791,0.00507,0.0284,0.0625,0.797,123.003,7DPYlEU3tY0bFNK2gii9fi,277073
9,0.801,0.783,-4.193,0.327,0.244,0.0,0.0902,0.695,94.648,6motja4C4U6oCgtojBTyCI,144000
10,0.374,0.147,-12.798,0.0346,0.933,1.07e-05,0.245,0.359,77.45,7vQGAUF6LDqyQ4lDRwZCWa,256711
11,0.672,0.793,-5.973,0.0414,0.00509,0.0192,0.16,0.946,129.915,2MXmDDnh2RWzfWINMsFgNA,80453
12,0.713,0.676,-5.483,0.027,0.0377,0.0,0.154,0.721,99.048,5zFglKYiknIxks8geR8rcL,227395
13,0.496,0.769,-2.695,0.327,0.0104,0.0,0.112,0.124,139.517,0a3Ate4GM8CsHuybAYNcga,137147
14,0.236,0.257,-15.503,0.0339,0.816,0.951,0.183,0.0648,81.528,3C0zc2g7XS4bL0w6BRM0j7,160762
15,0.699,0.906,-8.396,0.058,0.00253,0.884,0.0738,0.096,142.994,76pmSaEKGN9XuprqbB1KLt,297103
16,0.576,0.863,-4.245,0.0491,0.000457,0.000593,0.0763,0.4,95.081,5pxL3QTr6OBveQbHcG3nYa,184253
17,0.392,0.501,-9.01,0.0437,0.982,0.874,0.238,0.322,113.782,5GUsyumrjcsMiRjYQiG9MQ,779587
18,0.309,0.947,-2.896,0.0659,0.0711,0.000368,0.334,0.138,144.802,0FjfgKo2ZOTK5Shz59qHeP,238748
19,0.578,0.986,-3.584,0.0815,8.59e-05,1.76e-05,0.0217,0.593,104.979,4NwI88otPtGMbFJz1FJZsA,167493
20,0.377,0.145,-13.314,0.0396,0.917,0.0,0.162,0.518,184.447,0noNaf25LeljP7PktZLB8W,197446
21,0.738,0.248,-18.928,0.941,0.0556,0.000183,0.258,0.285,87.763,4Trfpvw1gbWEHnPbfSYIIC,191728
22,0.351,0.115,-18.128,0.0392,0.843,0.304,0.103,0.346,135.8,5g9SPy5TPtDLQdrpzUkZeZ,182933
23,0.491,0.588,-6.177,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,7d82OX0tV6wP1Cy7ZQVl1o,269600
24,0.179,0.977,-4.164,0.105,3.43e-05,0.444,0.278,0.198,174.161,1scT2ygrMOMDXBVAiYaxte,234760
25,0.727,0.849,-5.808,0.0711,0.0155,0.807,0.101,0.716,93.836,4hmzPogQsZ8NjykB2GPn16,184320
26,0.681,0.408,-9.324,0.041,0.679,0.0,0.145,0.814,119.915,1RIQw2QuIglFKwBgzRidIe,190400
